HT,AT,WINNER,HS,AS,Q1H,Q1A,Q2H,Q2A,Q3H,Q3A,Q4H,Q4A
Real Madrid,Barcelona,Real Madrid,92,65,22,17,31,13,16,20,23,15
Maccabi Tel Aviv,Baskonia,Baskonia,79,81,17,22,24,14,20,18,18,27
Fenerbahce Ulker,Olimpia Milano,Fenerbahce Ulker,92,85,15,21,25,19,27,18,25,27
CSKA Moscow,Khimki,CSKA Moscow,88,74,24,17,25,23,26,13,13,21
Olympiacos,Anadolu Efes SK,Olympiacos,88,81,25,12,23,34,17,22,23,13
Baskonia,CSKA Moscow,Baskonia,76,73,21,21,19,17,15,17,21,18
Panathinaikos,Fenerbahce Ulker,Fenerbahce Ulker,69,81,12,18,21,17,19,21,17,25
Anadolu Efes SK,Real Madrid,Real Madrid,82,84,23,23,29,22,22,15,8,24
Olimpia Milano,Gran Canaria,Gran Canaria,86,94,22,20,18,28,23,23,23,23
Bayern,Khimki,Bayern,72,65,16,16,15,12,23,22,18,15
Buducnost,Barcelona,Buducnost,67,64,14,15,17,18,15,13,21,18
Darussafaka Ct,Maccabi Tel Aviv,Maccabi Tel Aviv,71,73,17,17,25,19,20,15,9,22
Zalgiris Kaunas,Olympiacos,Zalgiris Kaunas,83,75,19,29,21,19,20,11,23,16
Barcelona,Fenerbahce Ulker,Fenerbahce Ulker,65,84,17,23,19,22,11,19,18,20
Olympiacos,Buducnost,Olympiacos,92,70,25,20,19,17,32,14,16,19
Anadolu Efes SK,Baskonia,Anadolu Efes SK,96,85,25,17,19,25,31,25,21,18
Khimki,Panathinaikos,Khimki,76,68,29,25,19,19,11,7,17,17
Real Madrid,CSKA Moscow,CSKA Moscow,88,93,20,24,21,14,20,29,27,26
Maccabi Tel Aviv,Bayern,Maccabi Tel Aviv,95,71,27,17,20,12,20,26,28,16
Zalgiris Kaunas,Olimpia Milano,Zalgiris Kaunas,83,78,18,23,22,8,20,27,23,20
Darussafaka Ct,Gran Canaria,Gran Canaria,71,75,25,22,19,12,12,23,15,18
Barcelona,Olimpia Milano,Barcelona,90,80,24,25,29,17,21,12,16,26
Baskonia,Panathinaikos,Baskonia,86,77,20,12,24,20,29,23,13,22
Buducnost,CSKA Moscow,Buducnost,93,92,17,21,18,28,30,18,28,25
Zalgiris Kaunas,Khimki,Khimki,83,84,26,19,13,18,18,21,26,26
Gran Canaria,Bayern,Bayern,74,89,17,21,25,25,20,15,12,28
Maccabi Tel Aviv,Fenerbahce Ulker,Fenerbahce Ulker,70,74,16,13,25,23,12,19,17,19
Olympiacos,Real Madrid,Olympiacos,88,83,29,22,23,19,13,24,23,18
Darussafaka Ct,Anadolu Efes SK,Anadolu Efes SK,88,93,23,19,23,23,14,32,28,19
Olimpia Milano,Baskonia,Olimpia Milano,93,90,27,26,20,17,26,25,20,22
Panathinaikos,Barcelona,Panathinaikos,76,70,13,10,21,15,21,25,21,20
CSKA Moscow,Zalgiris Kaunas,CSKA Moscow,99,97,16,18,21,20,22,22,27,26
Khimki,Buducnost,Khimki,85,69,18,17,27,13,20,24,20,15
Real Madrid,Gran Canaria,Real Madrid,89,76,22,28,25,15,15,14,27,19
Bayern,Olympiacos,Olympiacos,62,72,15,15,12,16,16,14,19,27
Fenerbahce Ulker,Darussafaka Ct,Fenerbahce Ulker,100,79,25,10,21,27,22,19,32,23
Anadolu Efes SK,Maccabi Tel Aviv,Anadolu Efes SK,90,77,16,14,22,17,24,22,28,24
Gran Canaria,Maccabi Tel Aviv,Gran Canaria,84,78,23,15,20,23,22,19,19,21
Bayern,CSKA Moscow,CSKA Moscow,79,93,23,30,17,26,25,21,14,16
Zalgiris Kaunas,Barcelona,Barcelona,85,88,18,23,16,16,16,21,26,16
Anadolu Efes SK,Panathinaikos,Anadolu Efes SK,78,62,19,11,25,17,16,18,18,16
Real Madrid,Khimki,Real Madrid,79,74,19,12,22,23,15,20,23,19
Olympiacos,Fenerbahce Ulker,Fenerbahce Ulker,72,73,18,21,21,18,14,11,19,23
Buducnost,Baskonia,Buducnost,99,84,26,18,22,19,27,23,24,24
Darussafaka Ct,Olimpia Milano,Olimpia Milano,92,98,19,26,30,28,20,14,23,30
Baskonia,Fenerbahce Ulker,Fenerbahce Ulker,72,74,20,18,13,15,22,15,17,26
Panathinaikos,Olympiacos,Panathinaikos,93,80,21,23,20,25,26,14,26,18
Buducnost,Zalgiris Kaunas,Zalgiris Kaunas,60,72,15,18,18,15,15,24,12,15
Khimki,Barcelona,Barcelona,80,87,23,19,15,19,21,29,21,20
Gran Canaria,Anadolu Efes SK,Anadolu Efes SK,90,94,25,24,27,26,21,20,17,24
Olimpia Milano,CSKA Moscow,CSKA Moscow,85,90,21,16,20,24,25,23,19,27
Maccabi Tel Aviv,Real Madrid,Real Madrid,66,87,15,18,8,23,21,25,22,21
Bayern,Darussafaka Ct,Bayern,116,70,21,17,33,18,33,15,29,20
Olimpia Milano,Anadolu Efes SK,Olimpia Milano,81,80,24,17,19,18,25,19,13,26
Buducnost,Panathinaikos,Panathinaikos,67,72,15,18,16,13,16,19,20,22
Zalgiris Kaunas,Real Madrid,Real Madrid,79,90,32,18,12,25,24,19,11,28
Khimki,Gran Canaria,Khimki,87,72,25,21,24,12,28,20,10,19
Barcelona,Maccabi Tel Aviv,Barcelona,74,58,18,12,16,21,25,7,15,18
Fenerbahce Ulker,Bayern,Fenerbahce Ulker,88,84,28,26,23,22,14,17,23,19
Baskonia,Darussafaka Ct,Baskonia,82,56,16,16,22,14,26,11,18,15
CSKA Moscow,Olympiacos,CSKA Moscow,69,65,13,15,18,20,21,9,17,21
Gran Canaria,CSKA Moscow,CSKA Moscow,91,106,29,26,26,26,22,28,14,26
Panathinaikos,Zalgiris Kaunas,Zalgiris Kaunas,83,87,13,20,20,24,18,14,25,18
Darussafaka Ct,Barcelona,Barcelona,71,79,18,23,22,24,24,11,7,21
Olympiacos,Maccabi Tel Aviv,Olympiacos,88,80,18,21,27,16,23,20,20,23
Real Madrid,Buducnost,Real Madrid,89,55,21,15,23,16,21,13,24,11
Olimpia Milano,Khimki,Olimpia Milano,81,80,23,20,16,25,27,17,15,18
Bayern,Baskonia,Bayern,77,71,20,11,23,21,18,20,16,19
Anadolu Efes SK,Fenerbahce Ulker,Anadolu Efes SK,89,83,12,26,26,26,28,13,23,18
Real Madrid,Baskonia,Real Madrid,97,79,25,19,27,25,22,23,23,12
Olympiacos,Olimpia Milano,Olimpia Milano,75,99,26,24,15,20,22,29,12,26
Zalgiris Kaunas,Fenerbahce Ulker,Fenerbahce Ulker,75,82,25,18,17,16,15,19,18,29
Khimki,Anadolu Efes SK,Anadolu Efes SK,84,85,21,18,16,27,18,22,29,18
Barcelona,Bayern,Barcelona,83,73,26,17,18,19,21,18,18,19
Buducnost,Maccabi Tel Aviv,Maccabi Tel Aviv,68,78,16,14,25,20,21,24,6,20
Panathinaikos,Gran Canaria,Panathinaikos,102,87,21,14,29,22,24,19,28,32
CSKA Moscow,Darussafaka Ct,CSKA Moscow,79,75,19,17,12,21,26,10,22,27
Baskonia,Olympiacos,Olympiacos,80,85,19,27,20,23,13,17,28,18
Olimpia Milano,Real Madrid,Real Madrid,85,91,28,13,22,28,14,26,21,24
Fenerbahce Ulker,Khimki,Fenerbahce Ulker,93,85,28,21,26,22,12,20,27,22
Anadolu Efes SK,Zalgiris Kaunas,Zalgiris Kaunas,79,93,19,19,13,27,16,22,31,25
Gran Canaria,Barcelona,Gran Canaria,87,86,18,26,26,18,20,25,23,17
Bayern,Panathinaikos,Bayern,80,79,20,20,20,21,16,17,24,21
Maccabi Tel Aviv,CSKA Moscow,CSKA Moscow,86,89,22,24,24,26,22,17,18,22
Darussafaka Ct,Buducnost,Darussafaka Ct,71,63,14,25,25,10,14,14,18,14
Fenerbahce Ulker,Gran Canaria,Fenerbahce Ulker,97,72,22,10,27,25,26,23,22,14
Khimki,Olympiacos,Olympiacos,66,87,22,20,12,24,20,19,12,24
Zalgiris Kaunas,Baskonia,Baskonia,79,87,24,22,15,20,14,21,26,24
Buducnost,Olimpia Milano,Olimpia Milano,71,82,11,22,20,20,20,15,20,25
Real Madrid,Darussafaka Ct,Real Madrid,109,93,25,18,28,20,38,31,18,24
Bayern,Anadolu Efes SK,Anadolu Efes SK,71,90,19,18,18,26,14,28,20,18
Panathinaikos,Maccabi Tel Aviv,Panathinaikos,89,84,26,24,20,21,24,22,19,17
CSKA Moscow,Barcelona,CSKA Moscow,95,75,21,17,30,12,18,29,26,17
Real Madrid,Fenerbahce Ulker,Real Madrid,85,80,21,17,17,23,25,15,22,25
CSKA Moscow,Zalgiris Kaunas,Zalgiris Kaunas,77,79,19,22,16,19,13,28,29,10
CSKA Moscow,Real Madrid,Real Madrid,83,92,30,20,16,27,10,16,27,29
Fenerbahce Ulker,Zalgiris Kaunas,Fenerbahce Ulker,76,67,19,13,20,20,15,17,22,17
Real Madrid,Panathinaikos,Real Madrid,89,82,19,14,32,21,27,25,11,22
Khimki,CSKA Moscow,CSKA Moscow,88,89,25,32,19,25,21,14,23,18
Baskonia,Fenerbahce Ulker,Fenerbahce Ulker,83,92,19,25,13,23,30,24,21,20
Zalgiris Kaunas,Olympiacos,Zalgiris Kaunas,101,91,23,22,28,15,27,19,23,35
Khimki,CSKA Moscow,Khimki,79,73,17,15,27,27,16,15,19,16
Real Madrid,Panathinaikos,Real Madrid,81,74,17,17,23,17,17,19,24,21
Baskonia,Fenerbahce Ulker,Baskonia,88,83,19,20,28,18,20,28,21,17
Zalgiris Kaunas,Olympiacos,Zalgiris Kaunas,80,60,21,19,26,17,20,14,13,10
Olympiacos,Zalgiris Kaunas,Olympiacos,79,68,17,15,24,17,13,22,25,14
Fenerbahce Ulker,Baskonia,Fenerbahce Ulker,95,89,25,23,28,26,18,19,24,21
Panathinaikos,Real Madrid,Real Madrid,82,89,21,16,19,20,21,32,21,21
CSKA Moscow,Khimki,CSKA Moscow,89,84,24,22,19,23,25,21,21,18
Olympiacos,Zalgiris Kaunas,Zalgiris Kaunas,78,87,23,12,15,20,18,21,16,19
Fenerbahce Ulker,Baskonia,Fenerbahce Ulker,82,73,21,11,22,15,22,26,17,21
Panathinaikos,Real Madrid,Panathinaikos,95,67,26,13,20,17,31,14,18,23
CSKA Moscow,Khimki,CSKA Moscow,98,95,25,34,21,20,26,21,26,20
Real Madrid,Bamberg,Real Madrid,106,86,27,28,26,22,29,19,24,17
Valencia,Maccabi Tel Aviv,Valencia,87,84,24,18,28,21,9,18,26,27
Olympiacos,Zalgiris Kaunas,Zalgiris Kaunas,85,86,25,10,18,21,16,25,21,24
Barcelona,Khimki,Barcelona,86,82,31,18,23,27,18,21,14,16
Baskonia,Anadolu Efes SK,Anadolu Efes SK,79,81,18,13,14,20,19,27,28,21
Olimpia Milano,Panathinaikos,Panathinaikos,95,96,27,18,28,24,14,19,18,26
Fenerbahce Ulker,Unicaja,Unicaja,91,99,14,22,22,25,15,12,32,24
CSKA Moscow,Crvena Zvezda,CSKA Moscow,92,81,23,24,14,20,27,19,28,18
Panathinaikos,Valencia,Panathinaikos,75,56,23,13,17,18,17,16,18,9
Crvena Zvezda,Real Madrid,Real Madrid,79,82,20,27,19,16,18,21,22,18
Zalgiris Kaunas,CSKA Moscow,Zalgiris Kaunas,85,73,23,18,25,24,16,18,21,13
Unicaja,Olympiacos,Unicaja,87,85,19,22,28,11,7,23,20,18
Baskonia,Maccabi Tel Aviv,Baskonia,83,72,22,18,16,16,18,19,27,19
Bamberg,Olimpia Milano,Olimpia Milano,78,83,23,28,20,15,21,17,14,23
Anadolu Efes SK,Barcelona,Barcelona,83,107,19,23,15,32,33,26,16,26
Khimki,Fenerbahce Ulker,Fenerbahce Ulker,64,73,18,20,20,17,15,22,11,14
Barcelona,Baskonia,Baskonia,73,86,16,16,24,27,18,20,15,23
Olympiacos,Anadolu Efes SK,Olympiacos,89,82,30,15,19,27,21,15,19,25
Bamberg,Unicaja,Bamberg,93,88,28,19,27,23,22,26,16,20
Khimki,CSKA Moscow,CSKA Moscow,73,90,17,29,20,24,21,15,15,22
Olimpia Milano,Valencia,Valencia,89,93,23,17,20,23,22,28,24,25
Real Madrid,Zalgiris Kaunas,Real Madrid,88,81,19,16,22,28,24,18,23,19
Maccabi Tel Aviv,Panathinaikos,Panathinaikos,75,76,20,18,21,17,17,21,17,20
Crvena Zvezda,Fenerbahce Ulker,Fenerbahce Ulker,63,80,17,22,14,18,10,25,22,15
Unicaja,Barcelona,Unicaja,95,91,19,25,30,21,27,22,19,23
Baskonia,Bamberg,Baskonia,103,79,27,14,23,25,30,13,23,27
Anadolu Efes SK,Khimki,Khimki,73,85,29,18,20,24,12,19,12,24
CSKA Moscow,Olympiacos,CSKA Moscow,89,81,23,26,21,14,25,22,20,19
Valencia,Real Madrid,Valencia,96,88,22,21,24,19,24,20,26,28
Panathinaikos,Crvena Zvezda,Panathinaikos,91,71,24,15,23,23,30,18,14,15
Zalgiris Kaunas,Olimpia Milano,Zalgiris Kaunas,77,65,17,16,14,18,23,16,23,15
Fenerbahce Ulker,Maccabi Tel Aviv,Fenerbahce Ulker,87,73,16,21,29,15,29,20,13,17
Unicaja,Panathinaikos,Panathinaikos,79,90,24,18,20,14,16,26,19,32
Fenerbahce Ulker,CSKA Moscow,CSKA Moscow,79,81,23,25,17,19,18,10,21,27
Baskonia,Zalgiris Kaunas,Baskonia,84,64,27,19,16,14,24,12,17,19
Maccabi Tel Aviv,Khimki,Khimki,91,94,19,21,20,23,27,21,25,29
Bamberg,Anadolu Efes SK,Bamberg,88,79,22,22,22,19,25,14,19,24
Olympiacos,Barcelona,Barcelona,63,90,17,22,21,18,14,23,11,27
Crvena Zvezda,Valencia,Crvena Zvezda,106,90,23,23,27,25,29,19,27,23
Olimpia Milano,Real Madrid,Real Madrid,77,88,17,25,19,24,18,19,23,20
Barcelona,Crvena Zvezda,Barcelona,88,54,17,12,28,12,17,25,26,5
Olympiacos,Bamberg,Olympiacos,87,79,27,19,15,23,27,19,18,18
Zalgiris Kaunas,Fenerbahce Ulker,Fenerbahce Ulker,78,85,24,17,16,14,18,21,20,33
CSKA Moscow,Unicaja,CSKA Moscow,101,76,30,20,27,23,22,18,22,15
Real Madrid,Panathinaikos,Real Madrid,92,75,19,20,19,17,26,18,28,20
Valencia,Baskonia,Baskonia,71,81,20,16,16,15,19,22,16,28
Anadolu Efes SK,Maccabi Tel Aviv,Maccabi Tel Aviv,81,94,21,20,21,23,20,24,19,27
Khimki,Olimpia Milano,Olimpia Milano,77,86,20,30,19,19,23,12,15,25
Real Madrid,Fenerbahce Ulker,Fenerbahce Ulker,83,86,20,20,25,20,20,28,18,18
Panathinaikos,Olympiacos,Olympiacos,85,87,18,16,16,27,16,19,21,9
Crvena Zvezda,Unicaja,Crvena Zvezda,80,76,24,24,16,13,22,15,18,24
Baskonia,Khimki,Baskonia,87,77,18,26,26,13,25,13,18,25
Olimpia Milano,Anadolu Efes SK,Olimpia Milano,77,64,17,17,27,12,14,16,19,19
Valencia,Bamberg,Valencia,86,70,28,11,9,23,23,20,26,16
Maccabi Tel Aviv,CSKA Moscow,CSKA Moscow,73,93,18,22,18,30,20,15,17,26
Zalgiris Kaunas,Barcelona,Zalgiris Kaunas,90,74,19,15,25,19,26,16,20,24
Barcelona,Real Madrid,Real Madrid,74,101,13,30,22,22,22,31,17,18
Bamberg,Crvena Zvezda,Bamberg,86,62,21,23,25,13,23,9,17,17
Anadolu Efes SK,Zalgiris Kaunas,Zalgiris Kaunas,70,86,23,21,13,24,20,23,14,18
Khimki,Panathinaikos,Khimki,78,61,24,18,22,13,17,15,15,15
Unicaja,Maccabi Tel Aviv,Unicaja,83,69,23,19,19,22,18,14,23,14
Olympiacos,Valencia,Olympiacos,80,70,22,11,18,28,22,16,18,15
Fenerbahce Ulker,Olimpia Milano,Fenerbahce Ulker,89,70,23,20,25,13,17,15,24,22
CSKA Moscow,Baskonia,CSKA Moscow,93,86,20,25,26,24,25,22,22,15
Real Madrid,Olympiacos,Olympiacos,79,80,20,21,19,24,23,20,17,15
Crvena Zvezda,Olimpia Milano,Crvena Zvezda,100,89,23,20,27,25,21,20,29,24
Zalgiris Kaunas,Khimki,Khimki,74,84,26,15,18,28,15,18,15,23
Fenerbahce Ulker,Bamberg,Fenerbahce Ulker,77,69,16,13,26,19,19,16,16,21
Unicaja,Anadolu Efes SK,Unicaja,79,68,23,12,17,16,21,27,18,13
Valencia,CSKA Moscow,Valencia,103,99,21,23,28,19,24,24,30,33
Panathinaikos,Baskonia,Panathinaikos,80,76,21,22,25,18,21,13,13,23
Maccabi Tel Aviv,Barcelona,Maccabi Tel Aviv,94,82,22,23,24,15,19,23,29,21
Baskonia,Crvena Zvezda,Baskonia,103,84,27,17,26,23,22,19,28,25
Bamberg,Panathinaikos,Bamberg,95,74,23,17,19,15,15,23,38,19
Khimki,Unicaja,Khimki,68,66,9,11,22,28,18,16,19,11
Olympiacos,Fenerbahce Ulker,Olympiacos,95,70,34,18,11,18,26,18,24,16
Barcelona,Olimpia Milano,Olimpia Milano,81,83,25,15,23,27,14,22,19,19
Zalgiris Kaunas,Maccabi Tel Aviv,Zalgiris Kaunas,99,84,26,20,27,26,23,16,23,22
Anadolu Efes SK,Valencia,Anadolu Efes SK,82,66,23,19,20,12,20,22,19,13
CSKA Moscow,Real Madrid,CSKA Moscow,93,87,33,11,21,20,24,29,15,27
Olimpia Milano,Maccabi Tel Aviv,Maccabi Tel Aviv,102,111,26,30,24,27,20,26,32,28
Valencia,Khimki,Valencia,85,83,23,24,23,20,17,20,22,19
Crvena Zvezda,Olympiacos,Crvena Zvezda,89,78,24,20,19,14,14,29,32,15
Fenerbahce Ulker,Barcelona,Fenerbahce Ulker,86,82,22,18,20,26,23,13,21,25
CSKA Moscow,Bamberg,CSKA Moscow,81,72,18,19,21,11,16,16,26,26
Real Madrid,Anadolu Efes SK,Real Madrid,87,68,20,14,19,16,21,17,27,21
Unicaja,Baskonia,Baskonia,83,85,21,19,22,27,21,21,19,18
Panathinaikos,Zalgiris Kaunas,Panathinaikos,94,93,29,17,18,20,12,21,24,25
Unicaja,Real Madrid,Unicaja,80,75,20,15,18,12,19,25,23,23
Baskonia,Olimpia Milano,Olimpia Milano,82,83,19,22,17,25,20,18,26,18
Panathinaikos,CSKA Moscow,CSKA Moscow,70,75,20,15,9,16,22,20,19,24
Anadolu Efes SK,Fenerbahce Ulker,Fenerbahce Ulker,84,89,24,24,11,22,22,22,27,21
Barcelona,Bamberg,Barcelona,81,66,18,15,26,19,15,18,22,14
Maccabi Tel Aviv,Crvena Zvezda,Maccabi Tel Aviv,89,75,23,16,24,13,17,23,25,23
Zalgiris Kaunas,Valencia,Zalgiris Kaunas,86,82,26,19,21,12,16,26,23,25
Khimki,Olympiacos,Khimki,82,54,28,14,21,11,16,13,17,16
Olimpia Milano,Unicaja,Olimpia Milano,101,87,31,22,19,22,29,27,22,16
Real Madrid,Baskonia,Real Madrid,75,73,18,17,16,17,25,27,16,12
Fenerbahce Ulker,Panathinaikos,Fenerbahce Ulker,67,62,18,20,17,10,12,20,20,12
CSKA Moscow,Anadolu Efes SK,CSKA Moscow,110,79,35,21,23,25,23,15,29,18
Valencia,Barcelona,Valencia,81,76,22,14,21,22,19,23,19,17
Bamberg,Zalgiris Kaunas,Bamberg,93,86,21,23,16,21,27,17,29,25
Olympiacos,Maccabi Tel Aviv,Olympiacos,94,64,24,16,29,24,17,11,24,13
Crvena Zvezda,Khimki,Khimki,70,79,21,14,16,17,17,21,16,27
Baskonia,Olympiacos,Baskonia,86,54,16,21,20,9,36,14,14,10
Zalgiris Kaunas,Unicaja,Zalgiris Kaunas,79,77,17,19,15,21,20,15,27,22
Anadolu Efes SK,Crvena Zvezda,Anadolu Efes SK,104,95,22,21,28,25,27,25,27,24
Khimki,Real Madrid,Real Madrid,78,95,17,26,14,25,18,16,29,28
Olimpia Milano,CSKA Moscow,CSKA Moscow,81,107,15,23,21,27,25,27,20,30
Valencia,Fenerbahce Ulker,Fenerbahce Ulker,67,80,7,18,20,15,23,18,17,29
Maccabi Tel Aviv,Bamberg,Maccabi Tel Aviv,90,88,20,25,19,16,26,23,25,24
Panathinaikos,Barcelona,Panathinaikos,84,75,17,19,19,15,18,14,30,27
Real Madrid,Maccabi Tel Aviv,Real Madrid,93,81,25,26,23,24,21,10,24,21
Bamberg,Khimki,Khimki,70,74,26,26,16,14,16,16,12,18
Olympiacos,Olimpia Milano,Olympiacos,87,80,26,17,22,17,22,19,17,27
Crvena Zvezda,Zalgiris Kaunas,Crvena Zvezda,77,65,16,18,17,13,15,14,29,20
Fenerbahce Ulker,Baskonia,Fenerbahce Ulker,79,74,18,22,18,16,27,21,16,15
Barcelona,CSKA Moscow,Barcelona,85,72,25,17,22,25,19,13,19,17
Unicaja,Valencia,Valencia,83,85,19,19,29,20,21,26,14,20
Panathinaikos,Anadolu Efes SK,Panathinaikos,90,79,23,12,24,21,23,23,20,23
Olimpia Milano,Crvena Zvezda,Crvena Zvezda,88,91,15,29,25,16,20,16,28,30
Baskonia,CSKA Moscow,CSKA Moscow,81,90,26,18,22,33,24,19,9,20
Anadolu Efes SK,Bamberg,Anadolu Efes SK,69,58,15,18,14,20,15,10,25,10
Khimki,Barcelona,Barcelona,65,79,15,25,17,11,25,21,8,22
Valencia,Panathinaikos,Valencia,67,63,12,17,20,15,16,16,19,15
Maccabi Tel Aviv,Unicaja,Unicaja,78,89,22,19,25,20,11,22,20,28
Zalgiris Kaunas,Olympiacos,Zalgiris Kaunas,74,68,22,19,14,19,12,15,26,15
Fenerbahce Ulker,Real Madrid,Real Madrid,77,79,17,10,19,27,25,25,16,17
Unicaja,Olimpia Milano,Unicaja,74,71,26,20,9,22,20,11,19,18
Baskonia,Barcelona,Baskonia,85,82,22,17,30,18,22,22,11,25
Anadolu Efes SK,Olympiacos,Olympiacos,58,61,9,17,16,16,14,12,19,16
CSKA Moscow,Khimki,CSKA Moscow,79,68,23,16,20,17,14,22,22,13
Valencia,Zalgiris Kaunas,Zalgiris Kaunas,63,71,16,19,20,15,10,20,17,17
Maccabi Tel Aviv,Fenerbahce Ulker,Maccabi Tel Aviv,82,73,24,15,16,21,20,18,22,19
Bamberg,Real Madrid,Real Madrid,66,81,13,29,22,21,16,18,15,13
Crvena Zvezda,Panathinaikos,Panathinaikos,63,69,15,20,23,21,11,17,14,11
Barcelona,Unicaja,Unicaja,83,90,24,26,21,18,19,22,19,24
Olimpia Milano,Baskonia,Olimpia Milano,92,85,27,25,22,12,27,21,16,27
Olympiacos,CSKA Moscow,Olympiacos,88,86,23,20,22,28,19,20,24,18
Khimki,Anadolu Efes SK,Khimki,86,68,26,19,11,14,20,23,29,12
Real Madrid,Valencia,Real Madrid,91,72,24,18,19,23,21,17,27,14
Panathinaikos,Maccabi Tel Aviv,Panathinaikos,89,76,25,21,24,22,18,13,22,20
Zalgiris Kaunas,Bamberg,Zalgiris Kaunas,88,84,21,22,29,27,22,23,16,12
Fenerbahce Ulker,Crvena Zvezda,Fenerbahce Ulker,82,56,17,11,24,22,21,9,20,14
Valencia,Crvena Zvezda,Crvena Zvezda,82,86,22,26,16,14,25,16,19,30
Panathinaikos,Olimpia Milano,Panathinaikos,80,72,14,23,25,18,25,16,16,15
Anadolu Efes SK,Baskonia,Baskonia,81,82,19,24,23,21,26,20,13,17
CSKA Moscow,Maccabi Tel Aviv,CSKA Moscow,101,86,21,20,28,14,23,23,29,29
Real Madrid,Barcelona,Real Madrid,87,75,15,15,25,23,28,14,19,23
Bamberg,Olympiacos,Bamberg,67,65,15,14,17,26,18,18,17,7
Unicaja,Khimki,Unicaja,93,84,27,26,20,22,20,18,26,18
Fenerbahce Ulker,Zalgiris Kaunas,Zalgiris Kaunas,89,90,24,16,18,25,22,22,25,27
Barcelona,Fenerbahce Ulker,Fenerbahce Ulker,68,83,28,22,10,17,13,25,17,19
Olympiacos,Real Madrid,Olympiacos,92,83,18,8,16,22,22,17,16,25
Crvena Zvezda,Anadolu Efes SK,Crvena Zvezda,100,81,29,23,21,21,24,18,26,19
Olimpia Milano,Khimki,Khimki,71,77,24,12,14,19,18,24,15,22
Baskonia,Unicaja,Baskonia,88,82,27,12,14,24,18,20,29,26
Maccabi Tel Aviv,Valencia,Maccabi Tel Aviv,94,91,25,21,21,25,23,19,25,26
Bamberg,CSKA Moscow,CSKA Moscow,76,92,20,22,19,20,20,28,17,22
Zalgiris Kaunas,Panathinaikos,Zalgiris Kaunas,80,74,10,20,21,13,33,14,16,27
Real Madrid,Crvena Zvezda,Crvena Zvezda,83,87,24,19,15,27,19,21,25,20
Panathinaikos,Unicaja,Panathinaikos,82,71,16,15,16,20,22,19,28,17
CSKA Moscow,Barcelona,CSKA Moscow,92,78,24,24,20,15,22,19,26,20
Baskonia,Fenerbahce Ulker,Fenerbahce Ulker,69,83,25,15,12,26,14,25,18,17
Valencia,Olympiacos,Olympiacos,64,72,13,20,17,15,15,19,19,18
Maccabi Tel Aviv,Zalgiris Kaunas,Maccabi Tel Aviv,81,74,15,14,24,15,26,22,16,23
Anadolu Efes SK,Olimpia Milano,Anadolu Efes SK,73,68,23,16,10,14,19,20,21,18
Khimki,Bamberg,Khimki,82,73,23,21,19,19,20,16,20,17
Unicaja,CSKA Moscow,CSKA Moscow,80,89,16,27,23,19,26,17,15,26
Panathinaikos,Real Madrid,Panathinaikos,82,80,23,28,17,26,24,15,18,11
Fenerbahce Ulker,Khimki,Fenerbahce Ulker,71,67,24,15,14,11,20,22,13,19
Barcelona,Maccabi Tel Aviv,Barcelona,89,67,22,11,22,13,22,20,23,23
Crvena Zvezda,Baskonia,Baskonia,81,85,17,22,21,25,19,17,24,21
Olimpia Milano,Olympiacos,Olympiacos,85,86,21,17,21,29,20,20,23,20
Bamberg,Valencia,Bamberg,83,82,20,23,21,24,11,19,31,16
Zalgiris Kaunas,Anadolu Efes SK,Zalgiris Kaunas,91,83,22,26,25,18,19,17,25,22
Barcelona,Valencia,Barcelona,89,71,24,18,26,14,21,24,18,15
