HT,AT,WINNER,HS,AS,Q1H,Q1A,Q2H,Q2A,Q3H,Q3A,Q4H,Q4A
Olimpia Milano,Bamberg,Olimpia Milano,71,62,13,16,14,19,16,16,28,11
Olympiacos,Crvena Zvezda,Olympiacos,85,59,22,13,25,24,20,12,18,10
CSKA Moscow,Fenerbahce Ulker,Fenerbahce Ulker,93,95,16,27,25,19,22,15,20,22
Real Madrid,Unicaja,Real Madrid,89,57,19,12,21,15,22,11,27,19
Zalgiris Kaunas,Baskonia,Baskonia,77,97,15,21,17,33,25,16,20,27
Anadolu Efes SK,Panathinaikos,Panathinaikos,81,82,21,28,23,20,16,14,21,20
Khimki,Maccabi Tel Aviv,Maccabi Tel Aviv,69,77,19,28,20,14,16,20,14,15
Valencia,Olimpia Milano,Olimpia Milano,98,103,20,19,25,22,19,17,10,16
Bamberg,Barcelona,Bamberg,84,81,12,38,25,11,25,17,22,15
Crvena Zvezda,CSKA Moscow,CSKA Moscow,59,85,10,22,17,22,7,21,25,20
Fenerbahce Ulker,Olympiacos,Olympiacos,83,90,17,18,23,12,13,27,22,18
Unicaja,Zalgiris Kaunas,Zalgiris Kaunas,83,85,17,21,17,20,14,18,24,13
Baskonia,Real Madrid,Baskonia,105,75,36,17,28,27,24,19,17,12
Panathinaikos,Khimki,Panathinaikos,93,65,26,16,20,11,26,22,21,16
Maccabi Tel Aviv,Anadolu Efes SK,Anadolu Efes SK,72,92,19,19,16,28,26,20,11,25
Unicaja,Crvena Zvezda,Unicaja,79,65,22,12,23,19,18,19,16,15
Bamberg,Fenerbahce Ulker,Fenerbahce Ulker,57,80,16,21,17,22,13,11,11,26
Olympiacos,Panathinaikos,Panathinaikos,62,70,17,16,13,19,17,14,15,21
Khimki,Baskonia,Khimki,91,90,18,21,22,27,21,16,30,26
Barcelona,Anadolu Efes SK,Anadolu Efes SK,85,89,15,26,20,16,22,25,28,22
Olimpia Milano,Zalgiris Kaunas,Zalgiris Kaunas,62,94,20,25,11,25,10,20,21,24
Maccabi Tel Aviv,Real Madrid,Maccabi Tel Aviv,90,83,22,30,25,12,17,24,26,17
CSKA Moscow,Valencia,CSKA Moscow,94,67,20,19,23,19,30,16,21,13
Barcelona,Olympiacos,Barcelona,73,51,14,14,18,12,17,15,24,10
Anadolu Efes SK,Unicaja,Unicaja,74,79,19,25,16,10,24,18,15,26
CSKA Moscow,Zalgiris Kaunas,CSKA Moscow,94,91,22,19,29,17,18,26,25,29
Real Madrid,Khimki,Khimki,80,86,23,25,16,20,20,21,21,20
Maccabi Tel Aviv,Olimpia Milano,Maccabi Tel Aviv,79,68,18,14,21,15,21,13,19,26
Baskonia,Panathinaikos,Baskonia,85,84,27,24,20,21,16,22,22,17
Fenerbahce Ulker,Valencia,Fenerbahce Ulker,79,66,20,18,18,12,19,19,22,17
Crvena Zvezda,Bamberg,Bamberg,69,75,18,30,16,13,19,16,16,16
Valencia,Unicaja,Valencia,91,53,31,11,26,14,16,17,18,11
Panathinaikos,Fenerbahce Ulker,Panathinaikos,70,68,19,21,17,23,17,11,17,13
Bamberg,Baskonia,Bamberg,78,72,17,17,18,15,25,19,18,21
Anadolu Efes SK,CSKA Moscow,CSKA Moscow,80,98,26,27,17,27,17,19,20,25
Olimpia Milano,Barcelona,Olimpia Milano,78,74,17,22,22,17,15,14,24,21
Olympiacos,Khimki,Olympiacos,92,75,22,20,27,20,25,15,18,20
Crvena Zvezda,Maccabi Tel Aviv,Crvena Zvezda,87,84,19,24,20,25,23,12,25,23
Zalgiris Kaunas,Real Madrid,Real Madrid,66,87,16,18,15,22,19,23,16,24
Unicaja,Bamberg,Bamberg,76,80,22,24,13,15,23,15,18,26
Baskonia,Valencia,Valencia,63,80,13,28,26,22,15,17,9,13
Fenerbahce Ulker,Anadolu Efes SK,Fenerbahce Ulker,81,70,15,20,19,14,28,18,19,18
CSKA Moscow,Panathinaikos,CSKA Moscow,81,63,27,15,16,18,17,18,21,12
Barcelona,Zalgiris Kaunas,Zalgiris Kaunas,75,81,21,24,18,21,15,17,21,19
Real Madrid,Olimpia Milano,Real Madrid,100,90,30,28,24,26,27,20,19,16
Maccabi Tel Aviv,Olympiacos,Olympiacos,68,69,18,18,15,17,12,16,23,18
Khimki,Crvena Zvezda,Khimki,85,78,20,28,23,16,21,11,21,23
Valencia,Anadolu Efes SK,Valencia,78,71,19,13,19,25,28,10,12,23
Olympiacos,Unicaja,Olympiacos,80,75,21,11,16,22,22,14,21,28
Crvena Zvezda,Barcelona,Crvena Zvezda,90,82,24,13,20,19,18,25,28,25
Khimki,Zalgiris Kaunas,Khimki,85,77,21,15,25,21,17,17,22,24
Real Madrid,CSKA Moscow,Real Madrid,82,69,20,15,25,18,11,20,26,16
Olimpia Milano,Fenerbahce Ulker,Fenerbahce Ulker,86,92,21,23,17,14,16,27,26,16
Panathinaikos,Bamberg,Panathinaikos,93,83,22,15,21,20,26,21,24,27
Maccabi Tel Aviv,Baskonia,Maccabi Tel Aviv,74,68,19,16,20,14,17,23,18,15
Barcelona,Panathinaikos,Barcelona,98,71,24,20,16,15,25,19,33,17
Khimki,Valencia,Khimki,75,70,18,17,25,19,16,21,16,13
Zalgiris Kaunas,Crvena Zvezda,Zalgiris Kaunas,78,76,15,13,28,27,10,17,25,19
Unicaja,Fenerbahce Ulker,Unicaja,68,67,20,20,16,21,14,16,18,10
Bamberg,Maccabi Tel Aviv,Maccabi Tel Aviv,71,88,20,14,16,23,23,18,12,33
Olympiacos,Baskonia,Olympiacos,75,64,16,12,25,21,19,16,15,15
Anadolu Efes SK,Real Madrid,Real Madrid,74,88,19,28,17,17,20,17,18,26
CSKA Moscow,Olimpia Milano,CSKA Moscow,93,84,16,30,22,18,27,16,28,20
Fenerbahce Ulker,Olympiacos,Fenerbahce Ulker,80,64,26,18,13,16,21,14,20,16
Real Madrid,CSKA Moscow,CSKA Moscow,70,94,10,23,22,22,24,24,14,25
Fenerbahce Ulker,Real Madrid,Fenerbahce Ulker,84,75,21,13,23,21,19,16,21,25
CSKA Moscow,Olympiacos,Olympiacos,78,82,18,12,22,21,24,27,14,22
Olympiacos,Anadolu Efes SK,Olympiacos,87,78,25,21,12,20,26,17,24,20
Anadolu Efes SK,Olympiacos,Olympiacos,62,74,21,14,17,21,16,20,8,19
Darussafaka Ct,Real Madrid,Real Madrid,78,89,21,24,17,21,20,27,20,17
Darussafaka Ct,Real Madrid,Real Madrid,81,88,17,26,16,20,25,24,23,18
Anadolu Efes SK,Olympiacos,Anadolu Efes SK,64,60,14,17,19,10,18,10,13,23
Baskonia,CSKA Moscow,CSKA Moscow,88,90,24,22,20,21,26,29,18,18
Fenerbahce Ulker,Panathinaikos,Fenerbahce Ulker,79,61,18,17,19,13,15,12,27,19
Real Madrid,Darussafaka Ct,Darussafaka Ct,80,84,19,22,19,22,30,22,12,18
Olympiacos,Anadolu Efes SK,Anadolu Efes SK,71,73,22,23,22,14,10,14,17,22
Panathinaikos,Fenerbahce Ulker,Fenerbahce Ulker,75,80,20,22,23,23,16,18,16,17
CSKA Moscow,Baskonia,CSKA Moscow,84,82,21,20,19,15,29,23,15,24
Real Madrid,Darussafaka Ct,Real Madrid,83,75,16,24,20,13,25,16,22,22
Olympiacos,Anadolu Efes SK,Olympiacos,87,72,18,11,24,20,25,19,20,22
Panathinaikos,Fenerbahce Ulker,Fenerbahce Ulker,58,71,15,16,27,12,8,20,8,23
CSKA Moscow,Baskonia,CSKA Moscow,98,90,26,19,18,21,28,22,26,28
Real Madrid,Anadolu Efes SK,Real Madrid,97,80,16,21,21,15,25,24,35,20
Olimpia Milano,Unics Kazan,Unics Kazan,68,91,21,22,18,14,10,29,19,26
CSKA Moscow,Olympiacos,CSKA Moscow,90,86,25,15,22,22,24,26,19,23
Darussafaka Ct,Crvena Zvezda,Darussafaka Ct,78,62,25,14,18,18,12,17,23,13
Baskonia,Zalgiris Kaunas,Zalgiris Kaunas,79,84,16,21,24,20,16,27,23,16
Maccabi Tel Aviv,Panathinaikos,Panathinaikos,61,81,26,20,16,12,12,31,7,18
Bamberg,Galatasaray CC,Galatasaray CC,79,84,23,20,22,23,18,15,16,26
Fenerbahce Ulker,Barcelona,Fenerbahce Ulker,68,65,11,15,19,16,14,15,14,12
Real Madrid,Fenerbahce Ulker,Real Madrid,61,56,20,16,9,16,19,11,13,13
Panathinaikos,CSKA Moscow,Panathinaikos,85,80,20,17,25,23,13,15,15,18
Crvena Zvezda,Unics Kazan,Crvena Zvezda,83,65,10,14,30,17,17,18,26,16
Galatasaray CC,Baskonia,Baskonia,80,103,21,27,23,33,22,20,14,23
Zalgiris Kaunas,Olimpia Milano,Olimpia Milano,84,88,27,18,14,21,22,24,21,25
Barcelona,Maccabi Tel Aviv,Barcelona,76,71,23,13,17,19,18,22,18,17
Bamberg,Darussafaka Ct,Darussafaka Ct,97,99,22,14,18,15,18,26,26,29
Anadolu Efes SK,Olympiacos,Anadolu Efes SK,77,69,22,15,21,21,15,14,19,19
Barcelona,Crvena Zvezda,Barcelona,67,54,17,18,15,11,20,14,15,11
Olympiacos,Real Madrid,Real Madrid,73,79,20,19,17,18,17,21,19,21
Darussafaka Ct,Galatasaray CC,Darussafaka Ct,73,67,16,18,21,21,24,13,12,15
Unics Kazan,CSKA Moscow,CSKA Moscow,74,85,18,25,15,19,24,30,17,11
Baskonia,Panathinaikos,Panathinaikos,63,72,6,24,15,13,16,17,26,18
Olimpia Milano,Bamberg,Bamberg,76,84,14,29,22,21,16,14,24,20
Maccabi Tel Aviv,Zalgiris Kaunas,Zalgiris Kaunas,77,93,14,17,19,27,25,27,19,22
Anadolu Efes SK,Fenerbahce Ulker,Anadolu Efes SK,80,77,21,14,23,21,21,19,15,23
Real Madrid,Barcelona,Real Madrid,85,69,22,13,19,14,23,24,21,18
Crvena Zvezda,Olympiacos,Olympiacos,64,66,9,17,8,13,26,12,15,16
Galatasaray CC,Unics Kazan,Galatasaray CC,75,67,21,23,24,6,12,12,18,26
CSKA Moscow,Darussafaka Ct,CSKA Moscow,95,85,24,19,23,16,21,27,27,23
Panathinaikos,Olimpia Milano,Panathinaikos,74,61,21,15,17,10,19,15,17,21
Bamberg,Baskonia,Baskonia,71,96,11,28,26,25,16,21,18,22
Zalgiris Kaunas,Anadolu Efes SK,Anadolu Efes SK,68,76,22,17,22,24,15,19,9,16
Fenerbahce Ulker,Maccabi Tel Aviv,Maccabi Tel Aviv,79,81,25,15,16,23,18,18,20,25
Baskonia,CSKA Moscow,Baskonia,79,78,18,14,16,19,27,21,18,24
Olympiacos,Galatasaray CC,Galatasaray CC,71,80,27,14,21,21,11,22,12,23
Darussafaka Ct,Barcelona,Darussafaka Ct,67,56,11,13,32,9,10,20,14,14
Unics Kazan,Zalgiris Kaunas,Zalgiris Kaunas,80,82,23,24,20,18,17,22,20,18
Bamberg,Fenerbahce Ulker,Fenerbahce Ulker,78,83,21,27,17,15,18,26,22,15
Olimpia Milano,Crvena Zvezda,Crvena Zvezda,71,78,10,25,21,18,19,17,21,18
Panathinaikos,Real Madrid,Panathinaikos,88,82,21,19,22,22,15,17,30,24
Anadolu Efes SK,Maccabi Tel Aviv,Anadolu Efes SK,92,87,17,17,24,25,26,15,25,30
Real Madrid,Crvena Zvezda,Real Madrid,98,68,38,24,25,20,17,13,18,11
Olympiacos,Darussafaka Ct,Olympiacos,81,73,25,18,23,15,21,25,12,15
Anadolu Efes SK,Bamberg,Bamberg,68,87,23,17,9,25,13,22,23,23
Barcelona,Unics Kazan,Barcelona,70,62,24,20,12,14,19,10,15,18
Maccabi Tel Aviv,Olimpia Milano,Maccabi Tel Aviv,92,82,26,20,25,15,19,26,22,21
Zalgiris Kaunas,Panathinaikos,Zalgiris Kaunas,64,58,9,17,10,14,15,10,30,17
Fenerbahce Ulker,Baskonia,Baskonia,74,79,18,19,17,24,20,18,19,18
CSKA Moscow,Galatasaray CC,CSKA Moscow,85,69,13,17,33,12,19,20,20,20
Barcelona,CSKA Moscow,CSKA Moscow,61,85,4,29,20,19,23,18,14,19
Darussafaka Ct,Panathinaikos,Darussafaka Ct,77,72,17,17,18,16,18,20,24,19
Unics Kazan,Anadolu Efes SK,Anadolu Efes SK,92,99,22,22,21,27,18,20,21,13
Baskonia,Olimpia Milano,Baskonia,87,74,23,20,15,17,28,16,21,21
Maccabi Tel Aviv,Olympiacos,Olympiacos,71,82,13,17,19,23,13,18,26,24
Crvena Zvezda,Bamberg,Crvena Zvezda,74,60,17,9,26,20,13,14,18,17
Galatasaray CC,Real Madrid,Galatasaray CC,87,84,25,20,24,26,24,14,14,24
Zalgiris Kaunas,Fenerbahce Ulker,Fenerbahce Ulker,67,76,17,19,14,11,17,25,19,21
Real Madrid,Darussafaka Ct,Real Madrid,101,83,30,14,23,23,22,23,26,23
Panathinaikos,Unics Kazan,Panathinaikos,83,82,24,25,15,21,13,15,31,21
Bamberg,Zalgiris Kaunas,Zalgiris Kaunas,86,91,22,28,23,21,23,18,18,24
Anadolu Efes SK,Baskonia,Anadolu Efes SK,96,85,23,21,24,17,26,22,23,25
Olimpia Milano,Barcelona,Barcelona,78,83,22,22,23,19,10,24,23,18
Crvena Zvezda,Galatasaray CC,Crvena Zvezda,77,58,20,17,28,12,16,13,13,16
Fenerbahce Ulker,Olympiacos,Fenerbahce Ulker,67,64,22,22,18,12,7,22,20,8
CSKA Moscow,Maccabi Tel Aviv,CSKA Moscow,93,81,26,14,28,34,15,12,24,21
Barcelona,Galatasaray CC,Galatasaray CC,62,69,16,10,12,16,22,19,12,24
Olympiacos,Zalgiris Kaunas,Olympiacos,73,64,19,19,16,16,21,19,17,10
Darussafaka Ct,Fenerbahce Ulker,Darussafaka Ct,72,65,10,20,24,11,13,16,25,18
Panathinaikos,Bamberg,Panathinaikos,81,72,27,19,15,22,20,13,19,18
Maccabi Tel Aviv,Baskonia,Maccabi Tel Aviv,85,84,22,18,24,21,23,16,16,29
CSKA Moscow,Crvena Zvezda,CSKA Moscow,102,80,33,26,25,20,19,18,25,16
Anadolu Efes SK,Olimpia Milano,Anadolu Efes SK,90,86,15,27,25,27,29,20,21,12
Unics Kazan,Real Madrid,Real Madrid,77,81,18,17,18,26,23,14,18,24
Crvena Zvezda,Anadolu Efes SK,Anadolu Efes SK,72,86,20,16,16,31,16,14,20,25
Baskonia,Real Madrid,Real Madrid,71,79,15,16,21,23,16,20,19,20
Galatasaray CC,Panathinaikos,Panathinaikos,79,84,24,18,16,25,24,25,15,16
Olimpia Milano,Darussafaka Ct,Olimpia Milano,89,87,20,24,18,27,23,22,28,14
Bamberg,Maccabi Tel Aviv,Bamberg,90,75,16,21,25,22,25,10,24,22
Zalgiris Kaunas,Barcelona,Zalgiris Kaunas,89,85,18,24,21,14,22,23,28,24
Fenerbahce Ulker,CSKA Moscow,Fenerbahce Ulker,77,71,15,14,21,26,24,11,17,20
Unics Kazan,Olympiacos,Olympiacos,75,90,13,33,23,23,18,13,21,21
Real Madrid,Olimpia Milano,Real Madrid,94,89,22,18,24,31,23,24,25,16
Olympiacos,Bamberg,Olympiacos,83,77,24,13,17,19,24,24,18,21
Barcelona,Baskonia,Baskonia,79,93,20,21,23,32,20,30,16,10
Darussafaka Ct,Zalgiris Kaunas,Zalgiris Kaunas,66,69,14,16,17,22,18,17,17,14
CSKA Moscow,Anadolu Efes SK,CSKA Moscow,80,77,25,24,17,11,23,17,15,25
Maccabi Tel Aviv,Unics Kazan,Maccabi Tel Aviv,60,52,16,9,17,15,12,14,15,14
Crvena Zvezda,Panathinaikos,Crvena Zvezda,72,66,20,14,19,19,18,23,15,10
Fenerbahce Ulker,Galatasaray CC,Fenerbahce Ulker,85,80,19,27,22,27,23,12,21,14
Olimpia Milano,Olympiacos,Olimpia Milano,99,83,15,21,26,20,26,20,32,22
Bamberg,Real Madrid,Real Madrid,89,91,21,25,26,26,22,19,20,21
Anadolu Efes SK,Darussafaka Ct,Anadolu Efes SK,93,81,25,19,17,19,22,18,29,25
Baskonia,Crvena Zvezda,Crvena Zvezda,69,87,15,25,12,25,22,20,20,17
Panathinaikos,Barcelona,Panathinaikos,71,65,15,13,21,16,18,17,17,19
Zalgiris Kaunas,CSKA Moscow,Zalgiris Kaunas,79,74,20,20,18,25,19,16,22,13
Galatasaray CC,Maccabi Tel Aviv,Galatasaray CC,102,63,20,16,32,23,20,13,30,11
Unics Kazan,Fenerbahce Ulker,Fenerbahce Ulker,81,86,15,22,19,17,26,29,21,18
Olympiacos,Baskonia,Olympiacos,92,62,24,17,26,11,26,15,16,19
Darussafaka Ct,Unics Kazan,Darussafaka Ct,71,64,23,17,10,17,18,18,20,12
Zalgiris Kaunas,Real Madrid,Real Madrid,59,74,17,17,16,24,20,12,6,21
Barcelona,Anadolu Efes SK,Barcelona,89,78,16,15,17,19,30,19,26,25
Olimpia Milano,Galatasaray CC,Olimpia Milano,92,87,23,21,26,18,22,21,21,27
Maccabi Tel Aviv,Crvena Zvezda,Crvena Zvezda,67,71,17,16,17,17,20,15,13,23
Fenerbahce Ulker,Panathinaikos,Fenerbahce Ulker,84,63,27,16,17,12,16,17,24,18
CSKA Moscow,Bamberg,CSKA Moscow,85,64,21,17,23,16,25,15,16,16
Real Madrid,Maccabi Tel Aviv,Real Madrid,80,75,16,21,21,15,16,20,27,19
Panathinaikos,Anadolu Efes SK,Panathinaikos,92,81,21,13,17,19,12,18,20,20
CSKA Moscow,Olimpia Milano,CSKA Moscow,101,64,27,9,29,16,22,21,23,18
Galatasaray CC,Zalgiris Kaunas,Galatasaray CC,87,79,17,17,23,17,25,23,22,22
Barcelona,Olympiacos,Olympiacos,67,69,20,17,13,12,21,27,13,13
Crvena Zvezda,Fenerbahce Ulker,Crvena Zvezda,75,73,23,23,21,19,17,17,14,14
Darussafaka Ct,Baskonia,Darussafaka Ct,98,89,20,24,27,22,30,22,21,21
Unics Kazan,Bamberg,Unics Kazan,63,58,13,20,17,16,16,11,17,11
Real Madrid,CSKA Moscow,Real Madrid,95,85,23,24,27,22,24,24,21,15
Olympiacos,Panathinaikos,Olympiacos,77,69,17,11,21,26,17,13,22,19
Zalgiris Kaunas,Crvena Zvezda,Crvena Zvezda,61,77,7,21,15,26,17,14,22,16
Fenerbahce Ulker,Olimpia Milano,Fenerbahce Ulker,86,79,18,19,23,21,22,18,23,21
Baskonia,Unics Kazan,Baskonia,102,70,25,15,28,21,24,14,25,20
Maccabi Tel Aviv,Darussafaka Ct,Maccabi Tel Aviv,93,92,29,14,24,22,14,35,26,21
Bamberg,Barcelona,Bamberg,85,65,18,17,22,14,19,16,26,18
Anadolu Efes SK,Galatasaray CC,Anadolu Efes SK,84,73,22,18,20,18,24,23,18,14
Barcelona,Darussafaka Ct,Barcelona,81,77,19,22,16,18,24,17,22,20
Galatasaray CC,Bamberg,Bamberg,75,90,19,24,19,23,14,27,23,16
Unics Kazan,Panathinaikos,Unics Kazan,83,81,13,19,22,25,28,21,20,16
Baskonia,Maccabi Tel Aviv,Baskonia,101,88,30,24,12,16,29,24,30,24
Olimpia Milano,Zalgiris Kaunas,Zalgiris Kaunas,70,78,16,21,17,15,23,20,14,22
Olympiacos,Fenerbahce Ulker,Olympiacos,71,62,18,9,22,12,18,19,13,22
Crvena Zvezda,CSKA Moscow,Crvena Zvezda,78,67,27,14,21,20,16,22,14,11
Anadolu Efes SK,Real Madrid,Real Madrid,78,80,22,21,14,16,27,24,15,19
Barcelona,Olimpia Milano,Barcelona,89,75,32,19,17,16,23,16,17,24
Panathinaikos,Baskonia,Panathinaikos,69,68,27,18,10,23,18,18,14,9
Darussafaka Ct,Maccabi Tel Aviv,Darussafaka Ct,86,84,13,22,18,26,27,13,28,23
CSKA Moscow,Fenerbahce Ulker,Fenerbahce Ulker,79,95,23,13,18,23,18,22,16,17
Bamberg,Olympiacos,Bamberg,82,68,23,13,25,17,11,20,23,18
Crvena Zvezda,Real Madrid,Crvena Zvezda,82,70,20,19,23,16,19,16,20,19
Zalgiris Kaunas,Unics Kazan,Unics Kazan,80,88,19,23,27,20,23,15,11,30
Galatasaray CC,Anadolu Efes SK,Anadolu Efes SK,76,86,18,16,26,22,14,22,18,26
Baskonia,Barcelona,Baskonia,65,62,9,16,15,14,23,15,18,17
Maccabi Tel Aviv,CSKA Moscow,CSKA Moscow,76,80,31,16,15,26,13,16,17,22
Olimpia Milano,Panathinaikos,Panathinaikos,72,86,21,16,8,24,13,24,30,22
Fenerbahce Ulker,Darussafaka Ct,Darussafaka Ct,64,71,18,20,17,17,13,13,16,21
Real Madrid,Bamberg,Real Madrid,95,72,24,9,23,16,25,15,23,32
Olympiacos,Crvena Zvezda,Olympiacos,73,65,22,18,23,16,11,9,17,22
Anadolu Efes SK,Zalgiris Kaunas,Zalgiris Kaunas,71,84,13,16,17,28,21,22,20,18
Unics Kazan,Galatasaray CC,Unics Kazan,73,60,15,11,22,20,18,12,18,17
Panathinaikos,Fenerbahce Ulker,Panathinaikos,81,70,23,14,18,23,20,15,20,18
CSKA Moscow,Barcelona,CSKA Moscow,92,76,24,11,20,31,27,23,21,11
Galatasaray CC,Olimpia Milano,Galatasaray CC,83,80,21,15,22,17,19,27,21,21
Bamberg,Anadolu Efes SK,Bamberg,91,83,23,22,25,19,23,23,20,19
Crvena Zvezda,Maccabi Tel Aviv,Crvena Zvezda,83,58,19,14,23,10,23,18,18,16
Zalgiris Kaunas,Olympiacos,Olympiacos,75,88,23,21,17,21,20,21,15,25
Darussafaka Ct,Real Madrid,Darussafaka Ct,81,68,17,20,18,11,17,13,29,24
Unics Kazan,Baskonia,Baskonia,91,92,20,22,20,21,27,24,24,25
Baskonia,Darussafaka Ct,Baskonia,73,52,18,9,19,10,18,14,18,19
Olympiacos,Unics Kazan,Olympiacos,88,59,24,16,19,12,25,14,20,17
Panathinaikos,Galatasaray CC,Panathinaikos,85,58,20,13,19,18,25,14,21,13
Anadolu Efes SK,Barcelona,Anadolu Efes SK,72,68,21,15,15,13,18,17,18,23
Real Madrid,Zalgiris Kaunas,Real Madrid,96,91,25,22,24,27,25,20,22,22
Olimpia Milano,CSKA Moscow,CSKA Moscow,64,79,23,21,15,15,16,30,10,13
Fenerbahce Ulker,Crvena Zvezda,Fenerbahce Ulker,87,72,20,18,21,13,27,19,19,22
Maccabi Tel Aviv,Bamberg,Bamberg,70,85,16,20,14,26,22,16,18,23
Barcelona,Panathinaikos,Barcelona,72,57,19,19,17,12,21,9,15,17
Baskonia,Galatasaray CC,Baskonia,69,62,22,9,14,23,18,16,15,14
Crvena Zvezda,Zalgiris Kaunas,Zalgiris Kaunas,79,88,16,24,28,18,22,24,13,22
Darussafaka Ct,Olympiacos,Olympiacos,71,77,21,24,13,19,17,14,20,20
Maccabi Tel Aviv,Anadolu Efes SK,Anadolu Efes SK,77,86,20,21,20,26,23,16,14,23
Bamberg,CSKA Moscow,CSKA Moscow,88,90,16,17,14,24,28,20,30,29
Fenerbahce Ulker,Real Madrid,Fenerbahce Ulker,78,77,23,19,16,21,18,17,21,20
Unics Kazan,Olimpia Milano,Unics Kazan,100,79,35,24,22,19,16,26,27,10
Panathinaikos,Darussafaka Ct,Panathinaikos,86,80,21,16,25,18,18,26,22,20
CSKA Moscow,Baskonia,CSKA Moscow,112,84,17,27,32,19,34,23,29,15
Galatasaray CC,Barcelona,Galatasaray CC,78,64,17,16,22,19,22,13,17,16
Real Madrid,Unics Kazan,Real Madrid,89,75,25,17,15,20,22,18,27,20
Olimpia Milano,Fenerbahce Ulker,Fenerbahce Ulker,70,79,17,21,19,23,27,14,7,21
Zalgiris Kaunas,Bamberg,Zalgiris Kaunas,86,72,18,22,29,17,24,16,15,17
Olympiacos,Maccabi Tel Aviv,Maccabi Tel Aviv,73,80,20,24,17,20,12,21,24,15
Anadolu Efes SK,Crvena Zvezda,Anadolu Efes SK,100,79,21,21,26,19,27,24,26,15
Barcelona,Real Madrid,Real Madrid,63,102,17,29,14,25,15,21,17,27
Panathinaikos,Olympiacos,Olympiacos,77,79,23,23,16,24,24,14,14,18
CSKA Moscow,Zalgiris Kaunas,CSKA Moscow,95,86,19,21,21,20,27,28,28,17
Galatasaray CC,Darussafaka Ct,Galatasaray CC,85,81,17,21,20,17,28,17,20,26
Baskonia,Bamberg,Baskonia,81,74,16,23,16,24,23,16,26,11
Crvena Zvezda,Olimpia Milano,Crvena Zvezda,83,70,14,19,23,13,17,14,29,24
Fenerbahce Ulker,Anadolu Efes SK,Fenerbahce Ulker,88,80,17,25,26,17,21,19,24,19
Unics Kazan,Maccabi Tel Aviv,Maccabi Tel Aviv,73,74,17,25,21,16,16,20,19,13
Real Madrid,Panathinaikos,Real Madrid,87,84,21,23,32,27,19,18,15,16
Olympiacos,Barcelona,Olympiacos,59,52,21,16,11,9,17,13,10,14
Zalgiris Kaunas,Galatasaray CC,Zalgiris Kaunas,87,75,20,20,29,17,20,14,18,24
Darussafaka Ct,CSKA Moscow,Darussafaka Ct,91,83,30,18,19,19,24,20,18,26
Olimpia Milano,Baskonia,Olimpia Milano,88,76,27,17,22,18,23,21,16,20
Maccabi Tel Aviv,Fenerbahce Ulker,Maccabi Tel Aviv,87,77,15,17,28,22,23,21,21,17
Bamberg,Crvena Zvezda,Crvena Zvezda,78,79,14,11,15,27,32,20,17,21
Anadolu Efes SK,Unics Kazan,Anadolu Efes SK,104,99,24,26,25,28,32,20,23,25
Baskonia,Fenerbahce Ulker,Baskonia,86,52,14,11,27,13,26,16,19,12
CSKA Moscow,Real Madrid,CSKA Moscow,91,90,17,26,32,12,24,30,18,22
Galatasaray CC,Olympiacos,Galatasaray CC,89,87,14,20,24,14,25,23,26,30
Barcelona,Zalgiris Kaunas,Barcelona,92,86,16,12,20,23,29,24,27,27
Olimpia Milano,Anadolu Efes SK,Olimpia Milano,105,92,25,24,30,25,24,18,26,25
Panathinaikos,Maccabi Tel Aviv,Panathinaikos,83,75,18,12,17,16,17,15,15,24
Darussafaka Ct,Bamberg,Darussafaka Ct,72,70,23,17,17,23,20,10,12,20
Unics Kazan,Crvena Zvezda,Unics Kazan,65,62,17,17,10,15,14,11,24,19
