teamAbbr,teamPTS,opptAbbr,opptPTS,teamRslt,teamLoc,teamPTS1,teamPTS2,teamPTS3,teamPTS4,teamPTS5,teamPTS6,teamPTS7,teamPTS8,opptPTS1,opptPTS2,opptPTS3,opptPTS4,opptPTS5,opptPTS6,opptPTS7,opptPTS8
NY,107,LAC,85,Win,Home,20,36,27,24,0,0,0,0,20,24,24,17,0,0,0,0
MEM,92,POR,100,Loss,Home,24,22,25,21,0,0,0,0,23,32,17,28,0,0,0,0
MIL,88,WAS,99,Loss,Home,19,27,20,22,0,0,0,0,27,20,26,26,0,0,0,0
NO,114,OKC,107,Win,Home,24,33,30,27,0,0,0,0,33,32,21,21,0,0,0,0
DAL,102,BOS,110,Loss,Home,22,27,28,19,6,0,0,0,34,19,16,27,14,0,0,0
SA,96,ATL,85,Win,Home,24,22,24,26,0,0,0,0,22,16,27,20,0,0,0,0
SAC,98,DEN,114,Loss,Home,22,25,23,28,0,0,0,0,22,25,34,33,0,0,0,0
LAL,103,CHI,94,Win,Home,23,19,30,31,0,0,0,0,27,29,19,19,0,0,0,0
CHA,129,WAS,124,Win,Home,25,30,29,30,15,0,0,0,26,33,29,26,10,0,0,0
CLE,119,BKN,109,Win,Home,20,25,32,42,0,0,0,0,17,29,31,32,0,0,0,0
PHI,101,POR,81,Win,Home,26,24,20,31,0,0,0,0,14,23,20,24,0,0,0,0
ATL,103,LAC,116,Loss,Home,30,33,21,19,0,0,0,0,29,33,26,28,0,0,0,0
MIA,104,BOS,98,Win,Home,27,27,25,25,0,0,0,0,16,25,22,35,0,0,0,0
NY,108,TOR,100,Win,Home,26,22,41,19,0,0,0,0,34,25,10,31,0,0,0,0
HOU,125,DEN,95,Win,Home,36,39,26,24,0,0,0,0,17,23,27,28,0,0,0,0
MEM,94,DAL,95,Loss,Home,27,29,16,22,0,0,0,0,12,27,35,21,0,0,0,0
MIN,124,ORL,118,Win,Home,30,35,41,18,0,0,0,0,35,27,18,38,0,0,0,0
NO,107,SA,90,Win,Home,19,31,37,20,0,0,0,0,29,13,17,31,0,0,0,0
OKC,108,GS,91,Win,Home,33,32,29,14,0,0,0,0,26,22,23,20,0,0,0,0
PHO,107,MIL,113,Loss,Home,23,21,31,30,2,0,0,0,33,21,30,21,8,0,0,0
UTA,110,CHI,80,Win,Home,25,30,32,23,0,0,0,0,24,22,23,11,0,0,0,0
SAC,113,LAL,102,Win,Home,31,23,22,37,0,0,0,0,19,22,26,35,0,0,0,0
ATL,116,NY,104,Win,Home,24,35,30,27,0,0,0,0,39,28,19,18,0,0,0,0
BOS,118,ORL,103,Win,Home,40,33,26,19,0,0,0,0,26,21,22,34,0,0,0,0
CLE,100,CHA,99,Win,Home,27,27,29,17,0,0,0,0,28,29,25,17,0,0,0,0
IND,107,TOR,104,Win,Home,29,21,31,26,0,0,0,0,25,35,20,24,0,0,0,0
MIN,97,MIA,109,Loss,Home,24,24,22,27,0,0,0,0,28,30,23,28,0,0,0,0
OKC,98,DET,99,Loss,Home,29,30,18,21,0,0,0,0,25,24,24,26,0,0,0,0
DEN,104,MEM,92,Win,Home,27,34,15,28,0,0,0,0,18,27,29,18,0,0,0,0
PHO,91,NO,115,Loss,Home,21,21,20,29,0,0,0,0,33,39,22,21,0,0,0,0
BKN,125,POR,127,Loss,Home,32,21,39,33,0,0,0,0,23,28,41,35,0,0,0,0
GS,143,CHI,94,Win,Home,29,45,36,33,0,0,0,0,32,21,13,28,0,0,0,0
CHA,86,SA,106,Loss,Home,15,14,29,28,0,0,0,0,14,26,32,34,0,0,0,0
PHI,130,ORL,111,Win,Home,31,39,31,29,0,0,0,0,28,27,30,26,0,0,0,0
WAS,105,POR,108,Loss,Home,30,22,31,22,0,0,0,0,27,14,32,35,0,0,0,0
ATL,78,TOR,112,Loss,Home,25,14,19,20,0,0,0,0,28,39,32,13,0,0,0,0
HOU,117,NY,102,Win,Home,29,29,37,22,0,0,0,0,39,22,13,28,0,0,0,0
IND,98,BOS,108,Loss,Home,32,22,16,28,0,0,0,0,27,18,37,26,0,0,0,0
DAL,97,OKC,81,Win,Home,25,27,26,19,0,0,0,0,24,13,18,26,0,0,0,0
GS,110,NO,95,Win,Home,17,36,31,26,0,0,0,0,31,22,22,20,0,0,0,0
UTA,121,MIL,108,Win,Home,31,33,31,26,0,0,0,0,30,27,28,23,0,0,0,0
SAC,95,LAC,97,Loss,Home,31,30,10,24,0,0,0,0,25,22,29,21,0,0,0,0
CHI,93,MIA,100,Loss,Home,13,29,19,32,0,0,0,0,7,38,19,36,0,0,0,0
MIN,119,PHO,108,Win,Home,33,30,30,26,0,0,0,0,27,31,22,28,0,0,0,0
MEM,88,BKN,98,Loss,Home,22,25,18,23,0,0,0,0,19,28,32,19,0,0,0,0
IND,121,ORL,109,Win,Home,33,24,28,36,0,0,0,0,25,25,34,25,0,0,0,0
PHI,91,CLE,113,Loss,Home,22,23,28,18,0,0,0,0,29,24,33,27,0,0,0,0
BOS,108,DET,118,Loss,Home,23,34,29,22,0,0,0,0,31,29,26,32,0,0,0,0
NY,91,POR,103,Loss,Home,23,14,27,27,0,0,0,0,30,23,37,13,0,0,0,0
HOU,117,BKN,103,Win,Home,43,23,30,21,0,0,0,0,26,29,25,23,0,0,0,0
SA,115,DAL,108,Win,Home,21,25,31,38,0,0,0,0,23,30,22,33,0,0,0,0
GS,106,SAC,110,Loss,Home,27,28,27,24,0,0,0,0,27,26,30,27,0,0,0,0
LAC,120,LAL,115,Win,Home,34,26,27,33,0,0,0,0,32,30,27,26,0,0,0,0
CLE,108,MIA,97,Win,Home,35,40,18,15,0,0,0,0,24,25,25,23,0,0,0,0
CHI,99,PHO,104,Loss,Home,29,14,27,29,0,0,0,0,28,18,27,31,0,0,0,0
MIN,89,WAS,92,Loss,Home,30,21,20,18,0,0,0,0,23,20,25,24,0,0,0,0
SAC,87,MIL,112,Loss,Home,26,11,22,28,0,0,0,0,32,29,31,20,0,0,0,0
UTA,106,DEN,77,Win,Home,26,22,28,30,0,0,0,0,24,25,17,11,0,0,0,0
DET,131,PHO,107,Win,Home,36,33,35,27,0,0,0,0,19,22,29,37,0,0,0,0
ORL,121,OKC,108,Win,Home,31,28,28,34,0,0,0,0,25,32,23,28,0,0,0,0
PHI,118,WAS,113,Win,Home,28,30,26,34,0,0,0,0,18,22,25,48,0,0,0,0
NY,115,MIA,86,Win,Home,33,32,23,27,0,0,0,0,22,22,20,22,0,0,0,0
TOR,126,CHA,113,Win,Home,32,39,22,33,0,0,0,0,25,27,33,28,0,0,0,0
HOU,118,IND,97,Win,Home,22,32,35,29,0,0,0,0,27,22,22,26,0,0,0,0
NO,102,MIN,120,Loss,Home,29,20,27,26,0,0,0,0,28,34,31,27,0,0,0,0
DAL,104,BKN,109,Loss,Home,27,20,29,28,0,0,0,0,21,27,32,29,0,0,0,0
SA,104,MEM,95,Win,Home,28,30,21,25,0,0,0,0,21,28,24,22,0,0,0,0
LAL,123,GS,127,Loss,Home,20,34,30,25,14,0,0,0,30,20,34,25,18,0,0,0
ATL,114,CLE,121,Loss,Home,35,32,23,24,0,0,0,0,42,21,36,22,0,0,0,0
BOS,108,PHI,97,Win,Home,28,26,22,32,0,0,0,0,22,22,27,26,0,0,0,0
DEN,111,CHI,110,Win,Home,30,32,29,20,0,0,0,0,39,29,24,18,0,0,0,0
POR,91,MIL,103,Loss,Home,21,24,21,25,0,0,0,0,33,27,27,16,0,0,0,0
LAC,107,UTA,126,Loss,Home,27,34,26,20,0,0,0,0,26,35,33,32,0,0,0,0
ORL,112,GS,133,Loss,Home,34,29,28,21,0,0,0,0,41,37,24,31,0,0,0,0
WAS,109,DET,91,Win,Home,26,20,35,28,0,0,0,0,26,26,15,24,0,0,0,0
TOR,120,IND,115,Win,Home,27,38,29,26,0,0,0,0,32,26,31,26,0,0,0,0
CHI,106,SAC,107,Loss,Home,31,29,21,25,0,0,0,0,29,32,21,25,0,0,0,0
MEM,79,SA,95,Loss,Home,18,20,21,20,0,0,0,0,24,23,21,27,0,0,0,0
MIA,105,CHA,100,Win,Home,22,28,29,26,0,0,0,0,30,19,26,25,0,0,0,0
OKC,111,MIN,107,Win,Home,42,22,21,26,0,0,0,0,33,21,25,28,0,0,0,0
UTA,114,NO,108,Win,Home,27,16,37,34,0,0,0,0,29,26,29,24,0,0,0,0
BOS,116,PHO,111,Win,Home,31,29,29,27,0,0,0,0,22,32,25,32,0,0,0,0
DAL,108,LAC,82,Win,Home,24,35,27,22,0,0,0,0,17,21,28,16,0,0,0,0
BKN,102,ATL,114,Loss,Home,22,23,30,27,0,0,0,0,25,29,27,33,0,0,0,0
CLE,116,MEM,111,Win,Home,28,38,27,23,0,0,0,0,32,20,30,29,0,0,0,0
PHI,108,DET,103,Win,Home,32,31,17,28,0,0,0,0,25,22,33,23,0,0,0,0
MIL,109,SAC,104,Win,Home,33,30,25,21,0,0,0,0,25,27,24,28,0,0,0,0
DEN,115,LAL,100,Win,Home,34,21,23,37,0,0,0,0,29,30,21,20,0,0,0,0
POR,116,NO,123,Loss,Home,33,24,25,34,0,0,0,0,26,34,38,25,0,0,0,0
NY,100,ORL,105,Loss,Home,25,26,25,24,0,0,0,0,36,18,24,27,0,0,0,0
MIA,95,GS,123,Loss,Home,36,24,17,18,0,0,0,0,33,29,37,24,0,0,0,0
MIN,112,LAC,106,Win,Home,31,29,18,34,0,0,0,0,27,28,21,30,0,0,0,0
OKC,90,SA,87,Win,Home,25,29,22,14,0,0,0,0,18,25,30,14,0,0,0,0
LAL,95,HOU,118,Loss,Home,27,19,27,22,0,0,0,0,27,34,24,33,0,0,0,0
CHA,104,ORL,94,Win,Home,26,28,21,29,0,0,0,0,23,22,29,20,0,0,0,0
IND,115,NY,97,Win,Home,31,35,29,20,0,0,0,0,19,21,25,32,0,0,0,0
PHI,101,PHO,115,Loss,Home,28,19,32,22,0,0,0,0,28,32,29,26,0,0,0,0
ATL,90,BKN,110,Loss,Home,32,22,15,21,0,0,0,0,33,20,31,26,0,0,0,0
BOS,111,MIL,100,Win,Home,34,28,26,23,0,0,0,0,26,23,32,19,0,0,0,0
CHI,91,CLE,113,Loss,Home,22,23,26,20,0,0,0,0,29,32,25,27,0,0,0,0
MEM,95,MIN,92,Win,Home,29,27,20,19,0,0,0,0,26,27,22,17,0,0,0,0
NO,115,GS,125,Loss,Home,33,36,22,24,0,0,0,0,26,23,39,37,0,0,0,0
DAL,122,DEN,105,Win,Home,39,25,29,29,0,0,0,0,23,24,35,23,0,0,0,0
SA,96,DET,93,Win,Home,28,22,19,27,0,0,0,0,29,24,20,20,0,0,0,0
UTA,116,WAS,69,Win,Home,29,35,24,28,0,0,0,0,15,15,22,17,0,0,0,0
TOR,126,PHO,113,Win,Home,36,19,42,29,0,0,0,0,23,23,33,34,0,0,0,0
OKC,100,UTA,94,Win,Home,19,20,29,32,0,0,0,0,28,19,33,14,0,0,0,0
POR,92,WAS,106,Loss,Home,22,15,29,26,0,0,0,0,24,27,28,27,0,0,0,0
CLE,101,SAC,95,Win,Home,19,29,25,28,0,0,0,0,22,35,21,17,0,0,0,0
IND,98,CHI,96,Win,Home,20,19,30,29,0,0,0,0,30,25,28,13,0,0,0,0
ORL,110,ATL,106,Win,Home,31,13,30,22,14,0,0,0,23,29,27,17,10,0,0,0
BOS,97,DAL,90,Win,Home,24,23,23,27,0,0,0,0,26,31,16,17,0,0,0,0
NY,99,MEM,88,Win,Home,23,26,27,23,0,0,0,0,32,17,18,21,0,0,0,0
CHA,87,GS,101,Loss,Home,18,20,30,19,0,0,0,0,26,27,26,22,0,0,0,0
MIL,104,DET,100,Win,Home,30,30,16,28,0,0,0,0,27,24,25,24,0,0,0,0
NO,123,DEN,114,Win,Home,33,34,30,26,0,0,0,0,33,33,25,23,0,0,0,0
SA,117,MIA,105,Win,Home,27,30,29,31,0,0,0,0,35,23,24,23,0,0,0,0
LAC,107,MIN,113,Loss,Home,22,27,31,27,0,0,0,0,29,33,26,25,0,0,0,0
PHI,104,LAL,107,Loss,Home,25,24,21,34,0,0,0,0,32,25,22,28,0,0,0,0
PHO,99,WAS,109,Loss,Home,28,24,32,15,0,0,0,0,26,31,28,24,0,0,0,0
BKN,100,OKC,95,Win,Home,20,29,25,26,0,0,0,0,33,25,21,16,0,0,0,0
UTA,101,HOU,112,Loss,Home,20,26,20,35,0,0,0,0,25,26,37,24,0,0,0,0
CHA,111,CHI,119,Loss,Home,25,27,27,27,5,0,0,0,31,21,23,31,13,0,0,0
DET,98,GS,102,Loss,Home,24,26,17,31,0,0,0,0,30,16,31,25,0,0,0,0
IND,106,CLE,102,Win,Home,32,25,32,17,0,0,0,0,33,30,23,16,0,0,0,0
ORL,89,DEN,103,Loss,Home,25,23,22,19,0,0,0,0,14,35,32,22,0,0,0,0
MEM,107,TOR,116,Loss,Home,34,28,31,14,0,0,0,0,25,32,35,24,0,0,0,0
MIL,109,DAL,102,Win,Home,22,27,28,32,0,0,0,0,25,29,24,24,0,0,0,0
NO,109,SAC,116,Loss,Home,25,28,29,20,7,0,0,0,24,23,30,25,14,0,0,0
SA,105,BOS,102,Win,Home,26,30,21,28,0,0,0,0,31,24,27,20,0,0,0,0
LAC,113,WAS,112,Win,Home,30,32,23,28,0,0,0,0,27,22,32,31,0,0,0,0
BKN,89,MIA,101,Loss,Home,26,27,19,17,0,0,0,0,24,26,25,26,0,0,0,0
CHA,99,LAL,110,Loss,Home,29,27,19,24,0,0,0,0,28,24,24,34,0,0,0,0
ATL,117,ORL,110,Win,Home,32,25,32,28,0,0,0,0,22,32,33,23,0,0,0,0
CHI,104,NY,102,Win,Home,27,22,19,36,0,0,0,0,18,26,26,32,0,0,0,0
CLE,105,PHI,98,Win,Home,23,29,26,27,0,0,0,0,24,22,27,25,0,0,0,0
MIL,117,UTA,100,Win,Home,29,22,32,34,0,0,0,0,19,23,24,34,0,0,0,0
MEM,101,OKC,102,Loss,Home,34,23,9,26,9,0,0,0,19,27,21,25,10,0,0,0
PHO,101,SA,104,Loss,Home,17,22,32,30,0,0,0,0,28,24,27,25,0,0,0,0
POR,117,HOU,124,Loss,Home,37,25,36,19,0,0,0,0,31,31,22,40,0,0,0,0
SAC,87,TOR,102,Loss,Home,17,29,21,20,0,0,0,0,22,32,25,23,0,0,0,0
DET,81,BOS,91,Loss,Home,21,16,22,22,0,0,0,0,29,15,29,18,0,0,0,0
IND,126,DEN,116,Win,Home,22,37,31,24,12,0,0,0,35,31,22,26,2,0,0,0
MIN,97,DAL,92,Win,Home,23,24,24,26,0,0,0,0,24,24,21,23,0,0,0,0
NO,131,PHI,124,Win,Home,32,34,21,44,0,0,0,0,26,29,40,29,0,0,0,0
NY,111,ATL,107,Win,Home,24,27,25,35,0,0,0,0,21,31,23,32,0,0,0,0
CHI,108,BOS,85,Win,Home,28,28,22,30,0,0,0,0,29,13,21,22,0,0,0,0
HOU,130,NO,123,Win,Home,35,43,18,34,0,0,0,0,41,35,27,20,0,0,0,0
MEM,82,MIA,107,Loss,Home,23,19,18,22,0,0,0,0,21,24,25,37,0,0,0,0
OKC,103,CHA,116,Loss,Home,26,26,22,29,0,0,0,0,34,18,40,24,0,0,0,0
GS,111,POR,104,Win,Home,27,33,33,18,0,0,0,0,28,19,28,29,0,0,0,0
LAC,96,TOR,91,Win,Home,19,32,19,26,0,0,0,0,30,23,21,17,0,0,0,0
CLE,123,ATL,114,Win,Home,31,31,32,29,0,0,0,0,31,17,29,37,0,0,0,0
DET,84,DEN,103,Loss,Home,18,22,20,24,0,0,0,0,26,23,31,23,0,0,0,0
NY,113,LAL,109,Win,Home,25,25,26,23,14,0,0,0,29,22,28,20,10,0,0,0
BKN,103,WAS,98,Win,Home,30,21,28,24,0,0,0,0,22,29,27,20,0,0,0,0
MIN,112,PHI,118,Loss,Home,27,24,25,24,12,0,0,0,20,28,26,26,18,0,0,0
DAL,95,SA,89,Win,Home,30,16,21,28,0,0,0,0,23,21,25,20,0,0,0,0
SAC,99,PHO,92,Win,Home,21,28,25,25,0,0,0,0,23,28,23,18,0,0,0,0
IND,95,OKC,100,Loss,Home,27,19,23,26,0,0,0,0,22,29,22,27,0,0,0,0
ORL,95,LAC,106,Loss,Home,24,16,28,27,0,0,0,0,13,32,29,32,0,0,0,0
WAS,93,MEM,87,Win,Home,22,19,19,33,0,0,0,0,12,17,28,30,0,0,0,0
BOS,124,DEN,118,Win,Home,30,38,29,27,0,0,0,0,31,28,33,26,0,0,0,0
MIA,95,POR,102,Loss,Home,33,27,19,16,0,0,0,0,21,29,20,32,0,0,0,0
CHI,103,UTA,100,Win,Home,30,19,28,26,0,0,0,0,24,24,26,26,0,0,0,0
NO,115,MIL,108,Win,Home,32,30,25,28,0,0,0,0,37,26,22,23,0,0,0,0
PHO,109,TOR,115,Loss,Home,31,21,27,30,0,0,0,0,37,21,34,23,0,0,0,0
HOU,108,CHA,96,Win,Home,38,25,28,17,0,0,0,0,23,26,20,27,0,0,0,0
ATL,91,DET,105,Loss,Home,31,15,18,27,0,0,0,0,30,29,26,20,0,0,0,0
BKN,104,NY,111,Loss,Home,26,24,32,22,0,0,0,0,32,31,24,24,0,0,0,0
CLE,121,LAL,112,Win,Home,24,39,31,27,0,0,0,0,26,34,26,26,0,0,0,0
MIN,119,SAC,96,Win,Home,32,32,31,24,0,0,0,0,22,33,16,25,0,0,0,0
GS,112,DAL,97,Win,Home,24,24,32,32,0,0,0,0,28,20,25,24,0,0,0,0
CHA,98,MIA,104,Loss,Home,19,28,24,27,0,0,0,0,24,29,26,25,0,0,0,0
IND,98,DET,104,Loss,Home,19,35,20,24,0,0,0,0,27,25,34,18,0,0,0,0
ORL,88,POR,95,Loss,Home,20,23,23,22,0,0,0,0,24,26,25,20,0,0,0,0
PHI,117,OKC,119,Loss,Home,23,24,30,17,8,9,6,0,28,27,26,13,8,9,8,0
WAS,100,LAC,91,Win,Home,25,23,27,25,0,0,0,0,18,25,21,27,0,0,0,0
BOS,95,UTA,107,Loss,Home,26,13,28,28,0,0,0,0,21,25,33,28,0,0,0,0
TOR,120,BKN,87,Win,Home,30,28,33,29,0,0,0,0,20,24,20,23,0,0,0,0
MEM,96,ATL,94,Win,Home,17,23,32,24,0,0,0,0,21,26,26,21,0,0,0,0
MIL,109,CHI,115,Loss,Home,30,28,24,27,0,0,0,0,33,26,23,33,0,0,0,0
DEN,117,NO,111,Win,Home,20,26,30,28,13,0,0,0,33,25,28,18,7,0,0,0
HOU,124,SA,109,Win,Home,31,29,32,32,0,0,0,0,16,27,29,37,0,0,0,0
CHA,91,POR,93,Loss,Home,20,17,30,24,0,0,0,0,24,25,25,19,0,0,0,0
CLE,109,UTA,100,Win,Home,23,28,29,29,0,0,0,0,24,24,25,27,0,0,0,0
NY,111,OKC,96,Win,Home,23,27,30,31,0,0,0,0,26,18,29,23,0,0,0,0
HOU,115,MIL,111,Win,Home,28,27,29,31,0,0,0,0,25,30,24,32,0,0,0,0
MIA,90,LAC,85,Win,Home,24,22,23,21,0,0,0,0,17,23,25,20,0,0,0,0
MIN,106,PHO,108,Loss,Home,25,25,31,25,0,0,0,0,22,20,35,31,0,0,0,0
SA,98,DAL,96,Win,Home,18,25,28,27,0,0,0,0,31,22,27,16,0,0,0,0
MEM,93,BOS,102,Loss,Home,12,28,33,20,0,0,0,0,31,17,23,31,0,0,0,0
TOR,108,SAC,93,Win,Home,35,26,22,25,0,0,0,0,30,33,14,16,0,0,0,0
DET,114,ORL,110,Win,Home,36,24,36,18,0,0,0,0,23,20,36,31,0,0,0,0
BKN,97,IND,109,Loss,Home,29,19,24,25,0,0,0,0,28,31,21,29,0,0,0,0
WAS,99,CLE,106,Loss,Home,23,37,23,16,0,0,0,0,27,33,23,23,0,0,0,0
CHA,109,NY,91,Win,Home,29,31,28,21,0,0,0,0,23,19,22,27,0,0,0,0
IND,111,BOS,112,Loss,Home,21,26,31,33,0,0,0,0,38,24,23,27,0,0,0,0
ATL,110,MIA,104,Win,Home,29,29,29,23,0,0,0,0,30,27,19,28,0,0,0,0
CHI,117,PHI,115,Win,Home,30,37,22,28,0,0,0,0,25,34,28,28,0,0,0,0
HOU,120,UTA,99,Win,Home,25,26,28,41,0,0,0,0,26,24,34,15,0,0,0,0
MIN,108,POR,107,Win,Home,24,27,25,32,0,0,0,0,24,30,31,22,0,0,0,0
OKC,95,DEN,94,Win,Home,32,20,18,25,0,0,0,0,18,26,32,18,0,0,0,0
DAL,91,PHO,97,Loss,Home,22,28,25,16,0,0,0,0,25,24,19,29,0,0,0,0
SA,109,LAC,91,Win,Home,31,26,28,24,0,0,0,0,17,32,21,21,0,0,0,0
LAL,114,GS,116,Loss,Home,24,29,29,20,12,0,0,0,32,25,26,19,14,0,0,0
PHI,95,SAC,101,Loss,Home,27,30,21,17,0,0,0,0,30,18,23,30,0,0,0,0
WAS,116,NO,106,Win,Home,36,25,32,23,0,0,0,0,19,36,15,36,0,0,0,0
MIL,119,CLE,116,Win,Home,30,39,29,21,0,0,0,0,34,24,25,33,0,0,0,0
CHA,111,TOR,129,Loss,Home,26,21,32,32,0,0,0,0,22,41,36,30,0,0,0,0
ATL,95,IND,105,Loss,Home,27,24,20,24,0,0,0,0,28,25,25,27,0,0,0,0
BOS,89,MIA,90,Loss,Home,24,20,15,30,0,0,0,0,15,21,26,28,0,0,0,0
BKN,99,SAC,104,Loss,Home,20,28,27,24,0,0,0,0,36,28,22,18,0,0,0,0
CHI,112,ORL,94,Win,Home,31,28,31,22,0,0,0,0,24,24,18,28,0,0,0,0
HOU,116,LAL,122,Loss,Home,22,37,30,27,0,0,0,0,37,26,31,28,0,0,0,0
OKC,107,UTA,79,Win,Home,25,28,34,20,0,0,0,0,9,28,23,19,0,0,0,0
DAL,110,DET,93,Win,Home,22,43,24,21,0,0,0,0,25,28,13,27,0,0,0,0
DEN,104,MIN,112,Loss,Home,24,28,32,20,0,0,0,0,17,33,30,32,0,0,0,0
POR,91,SA,93,Loss,Home,22,24,26,19,0,0,0,0,25,29,20,19,0,0,0,0
GS,97,MEM,84,Win,Home,24,32,18,23,0,0,0,0,28,23,14,19,0,0,0,0
LAC,108,PHO,95,Win,Home,23,30,28,27,0,0,0,0,15,20,31,29,0,0,0,0
CLE,115,CHI,112,Win,Home,29,29,24,33,0,0,0,0,27,29,23,33,0,0,0,0
PHI,109,TOR,114,Loss,Home,31,34,23,21,0,0,0,0,30,22,34,28,0,0,0,0
NY,102,BOS,93,Win,Home,25,19,24,34,0,0,0,0,15,25,28,25,0,0,0,0
PHO,97,MEM,95,Win,Home,26,34,19,18,0,0,0,0,25,26,30,14,0,0,0,0
UTA,100,SA,89,Win,Home,24,26,22,28,0,0,0,0,17,21,32,19,0,0,0,0
DET,104,NY,101,Win,Home,25,27,22,30,0,0,0,0,21,23,31,26,0,0,0,0
ORL,97,NO,111,Loss,Home,20,30,22,25,0,0,0,0,32,28,28,23,0,0,0,0
BKN,119,WAS,84,Win,Home,26,27,35,31,0,0,0,0,23,20,18,23,0,0,0,0
HOU,118,LAC,128,Loss,Home,33,32,20,33,0,0,0,0,23,29,35,41,0,0,0,0
MIA,113,DAL,101,Win,Home,32,21,29,31,0,0,0,0,23,30,20,28,0,0,0,0
MIL,109,CHA,104,Win,Home,26,26,31,26,0,0,0,0,23,36,26,19,0,0,0,0
OKC,120,ATL,117,Win,Home,28,36,18,38,0,0,0,0,28,22,31,36,0,0,0,0
POR,85,DEN,102,Loss,Home,22,19,25,19,0,0,0,0,28,24,28,22,0,0,0,0
GS,113,LAL,106,Win,Home,27,34,23,29,0,0,0,0,24,20,28,34,0,0,0,0
TOR,102,PHI,86,Win,Home,27,28,26,21,0,0,0,0,27,19,17,23,0,0,0,0
CHA,111,MIL,106,Win,Home,24,29,28,30,0,0,0,0,23,31,31,21,0,0,0,0
IND,123,BKN,119,Win,Home,21,20,39,31,12,0,0,0,28,29,24,30,8,0,0,0
WAS,130,ORL,103,Win,Home,37,35,28,30,0,0,0,0,29,19,35,20,0,0,0,0
ATL,112,DAL,107,Win,Home,25,23,31,33,0,0,0,0,25,28,27,27,0,0,0,0
BOS,117,CHI,92,Win,Home,33,27,38,19,0,0,0,0,31,27,18,16,0,0,0,0
MEM,115,LAC,112,Win,Home,30,33,27,25,0,0,0,0,33,26,22,31,0,0,0,0
MIA,94,NO,109,Loss,Home,28,25,16,25,0,0,0,0,27,29,27,26,0,0,0,0
UTA,89,OKC,103,Loss,Home,22,21,21,25,0,0,0,0,28,19,29,27,0,0,0,0
GS,81,DEN,96,Loss,Home,20,21,21,19,0,0,0,0,22,31,20,23,0,0,0,0
PHO,106,MIN,115,Loss,Home,24,19,37,26,0,0,0,0,33,31,22,29,0,0,0,0
